UC Berkeley BA,Total units: 0
UC Berkeley BS,Total units: 0
UC Davis,Total units: 0
UC Irvine,Total units: 0
UC Los Angeles,Total units: 0
UC Merced,Total units: 0
UC Riverside,Total units: 0
UC San Diego,Total units: 0
UC Santa Cruz BA,Total units: 0
UC Santa Cruz BS,Total units: 0
UC Santa Barbara,Total units: 0
CSU Los Angeles,Total units: 0
CSU Fullerton,Total units: 0
CSU Channel Islands,Total units: 0
Chico State,Total units: 0
CSU Dominguez Hills,Total units: 0
CSU East Bay,Total units: 0
Fresno State,Total units: 0
Cal Poly Humboldt,Total units: 0
CSU Long Beach,Total units: 0
CSU Northridge,Total units: 0
Cal Poly Pomona,Total units: 0
Sacramento State,[['PHIL 103 - Business and Computer Ethics (3.00)']]
Sacramento State,Total units: 3.0
CSU San Bernardino,Total units: 0
San Diego State,Total units: 0
San Francisco State,Total units: 0
San Jose State,"[['PHIL 134 - Computers, Ethics and Society (3.00)']]"
San Jose State,Total units: 3.0
CSU San Marcos,Total units: 0
Stainislaus State,Total units: 0
Sonoma State,Total units: 0
Cal Poly San Luis Obispo,"[['ES/WGQS 350 - Gender, Race, Culture, Science & Technology (4.00)'], ['ES 351 - Gender, Race, Class, Nation in Global Engineering, Technology & International Development (4.00)']]"
Cal Poly San Luis Obispo,Total units: 4.0
CSU Bakersfield,[['PHIL 3318 - Professional Ethics (3.00)']]
CSU Bakersfield,Total units: 3.0
CSU Monterey Bay,Total units: 0
