,UC_Santa_Cruz_BS,,,,,,,,,,,,,
,UC Santa Cruz BS,,,,,,,,,,,,,
,BS,,,,,,,,,,,,,
,quarter,,,,,,,,,,,,,
,11.0701,,,,,,,,,,,,,
Residual Complexity Total:,38.099999999999994,,,,,,,,,,,,,
Graduation Complexity Total:,145.10000000000005,,,,,,,,,,,,,
Residual Difference:,107.00000000000006,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality,Source
1.0,Precalculus.,MATH,3,,,,5.0,,,14.7,17.0,5.0,0.0,Graduation
2.0,"Calculus for Science, Engineering, and Mathematics",MATH,19A,1,,,5.0,,,14.0,16.0,5.0,136.0,Graduation
3.0,"Calculus for Science, Engineering, and Mathematics",MATH,19B,2,,,5.0,,,11.3,12.0,5.0,49.0,Graduation
4.0,Applied Discrete Mathematics,CSE,16,2,,,5.0,,,10.0,10.0,5.0,44.0,Graduation
7.0,Beginning Programming in Python,CSE,20,,,,5.0,,,12.7,14.0,5.0,0.0,Graduation
8.0,Computer Systems and Assembly Language and Lab,CSE,12,7,,,7.0,,,11.3,12.0,5.0,85.0,Graduation
9.0,Computer Systems and C Programming,CSE,13S,8,,,7.0,,,10.0,10.0,5.0,44.0,Graduation
10.0,Programming Abstractions: Python,CSE,30,7;2,,,7.0,,,9.3,9.0,5.0,72.0,Graduation
12.0,Introduction to Data Structures and Algorithms,CSE,101,4;10;9;8;3,,,5.0,,,8.7,8.0,5.0,224.0,Graduation
4.0,Applied Discrete Mathematics,CSE,16,,,,5.0,,,8.7,10.0,3.0,0.0,Residual
12.0,Introduction to Data Structures and Algorithms,CSE,101,4,,,5.0,,,7.3,8.0,3.0,24.0,Residual
