Curriculum,UC_Irvine,,,,,,,,,
Institution,"UC Irvine",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"11.0701",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Programming","I&C SCI","31",,,,4,"","",17.3,20,6.0,0
2,"Programming with Software Libraries","I&C SCI","32","1",,,4,"","",15.3,17,6.0,70
3,"Intermediate Programming","I&C SCI","33","2",,,4,"","",14.0,15,6.0,58
4,"Programming in C/C++ as a Second Language","I&C SCI","45C","3",,,4,"","",8.7,7,6.0,29
5,"Data Structure Implementation and Analysis","I&C SCI","46","4",,,4,"","",6.0,3,6.0,18
6,"Boolean Logic and Discrete Structures","I&C SCI","6B",,,,4,"","",7.3,7,4.0,0
7,"Discrete Mathematics for Computer Science","I&C SCI","6D","6",,,4,"","",2.7,1,3.0,3
8,"Computational Linear Algebra","I&C SCI","6N","1",,,4,"","",1.3,0,2.0,0
9,"Pre-Calculus II","MATH","1B",,,,4,"","",5.3,4,4.0,0
10,"Single-Variable Calculus I","MATH","2A","9",,,4,"","",4.7,3,4.0,8
11,"Single-Variable Calculus II","MATH","2B","10",,,4,"","",4.0,2,4.0,8
12,"Introductory Computer Organization","I&C SCI","51","6;3",,,6,"","",6.7,4,6.0,28
13,"Principles in System Design","I&C SCI","53","5;12",,,4,"","",4.0,0,6.0,0
14,"Introduction to Software Engineering","IN4MATX","43","2",,,4,"","",4.7,3,4.0,12
15,"Introduction to Probability and Statistics for Computer Science","STATS","67","11",,,4,"","",2.7,0,4.0,0
16,"Design and Analysis of Algorithms","COMPSCI","161","5;6;7;11",,,4,"","",4.0,0,6.0,0
17,"Critical Writing on Information Technology","I&C SCI","139W",,,,4,"","",0.7,0,1.0,0
18,"Project in Software System Design","IN4MATX","117","14;3",,,4,"","",2.7,0,4.0,0
19,"Principles of Operating Systems","COMPSCI","143A","12",,,4,"","",5.3,2,6.0,20
20,"Project in Operating System Organization","COMPSCI","143B","19",,,4,"","",4.0,0,6.0,0
21,"Parallel and Distributed Computing","COMPSCI","131","19",,,4,"","",4.0,0,6.0,0
23,"Requirements Analysis and Engineering","IN4MATX","113","14;3",,,4,"","",2.7,0,4.0,0
24,"Software Testing, Analysis, and Quality Assurance","IN4MATX","115","5;14",,,4,"","",4.0,0,6.0,0
25,"Software Design: Applications","IN4MATX","121","3",,,4,"","",2.7,0,4.0,0
26,"Human Computer Interaction","IN4MATX","131","1",,,4,"","",2.7,1,3.0,3
27,"User Interaction Software","IN4MATX","133","4",,,4,"","",4.7,1,6.0,6
28,"Project in User Interaction Software","IN4MATX","134","27;26",,,4,"","",4.0,0,6.0,0
29,"Game Engine Lab","I&C SCI","161","4",,,4,"","",3.3,0,5.0,0
