Canada College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,"[['CIS 250 - Introduction to Object Oriented Programming-C++ (3.00)'], ['CIS 284 - Introduction to Object Oriented Programming-Java (3.00)']]"
Canada College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,"[['CIS 252 - Introduction to Data Structures-C++ (3.00)'], ['CIS 286 - Introduction to Data Structures-Java (3.00)']]"
Canada College,CMPS 2120 - Discrete Structures (4.00),[['CIS 262 - Discrete Mathematics for Computer Science (3.00)']]
Canada College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['CIS 242 - Computer Architecture and Assembly Language (3.00)']]
Canada College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
Canada College,MATH 2510 - Single Variable Calculus I (4.00),[['MATH 251 - Analytical Geometry and Calculus I (5.00)']]
Canada College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
Canada College,MATH 2520 - Single Variable Calculus II (4.00),[['MATH 252 - Analytical Geometry and Calculus II (5.00)']]
Canada College,PHYS 2210 - Calculus-Based Physics I (4.00),[['PHYS 250 - Physics with Calculus I (4.00)']]
Canada College,PHYS 2220 - Calculus-Based Physics II (4.00),[['PHYS 260 - Physics with Calculus II (4.00)']]
Canada College,BIOL 1009 - Perspectives in Biology (3.00),[['BIOL 110 - Principles of Biology (4.00)']]
Canada College,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
Canada College,BIOL 2010 - Introductory Biology - Cells (4.00),[['BIOL 230 - Cell and Molecular Biology (5.00)']]
Canada College,CHEM 1000 - Foundations of Chemistry (3.00),"[['CHEM 210 - General Chemistry I (5.00)'], [' Course is articulated in more than one agreement but credit']]"
Canada College,GEOL 2010 - Physical Geology (4.00),"[['GEOL 100 - Introduction to Geology (3.00)', 'GEOL 101 - Geology Laboratory (1.00)']]"
Canada College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),[['MATH 200 - Elementary Probability and Statistics (4.00)']]
Canada College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MATH 253 - Analytical Geometry and Calculus III (5.00)']]
Canada College,MATH 2540 - Ordinary Differential Equations (4.00),[['MATH 275 - Ordinary Differential Equations (3.00)']]
Canada College,MATH 2610 - Linear Algebra I (4.00),[['MATH 270 - Linear Algebra (3.00)']]
Canada College,PHYS 2230 - Calculus-Based Physics III (4.00),[['PHYS 270 - Physics with Calculus III (4.00)']]
Canada College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
