Moreno Valley College,CMPS 2010 - Programming I: Programming Fundamentals (4.00) ,[['CIS 5 - Programming Concepts and Methodologies I: C++ (4.00)']]
Moreno Valley College,CMPS 2020 - Programming II: Data Structures and Algorithms (4.00) ,[['CIS 17A - Programming Concepts and Methodologies II: C++ (3.00)']]
Moreno Valley College,CMPS 2120 - Discrete Structures (4.00),[['CIS 7 - Discrete Structures (3.00)']]
Moreno Valley College,CMPS 2240 - Computer Architecture I: Assembly Language Programming (4.00),[['CIS 11 - Computer Architecture and Organization: Assembly (3.00)']]
Moreno Valley College,MATH 2310 - Single Variable Calculus I for Engineers (4.00),[['No Course Articulated']]
Moreno Valley College,MATH 2510 - Single Variable Calculus I (4.00),[['MAT 1A - Calculus I (4.00)']]
Moreno Valley College,MATH 2320 - Single Variable Calculus II for Engineers (4.00),[['No Course Articulated']]
Moreno Valley College,MATH 2520 - Single Variable Calculus II (4.00),[['MAT 1B - Calculus II (4.00)']]
Moreno Valley College,PHYS 2210 - Calculus-Based Physics I (4.00),[['PHY 4A - Mechanics (4.00)']]
Moreno Valley College,PHYS 2220 - Calculus-Based Physics II (4.00),[['PHY 4B - Electricity and Magnetism (4.00)']]
Moreno Valley College,BIOL 1009 - Perspectives in Biology (3.00),[['No Course Articulated']]
Moreno Valley College,BIOL 1039 - Principles of Ecology (3.00),[['No Course Articulated']]
Moreno Valley College,BIOL 2010 - Introductory Biology - Cells (4.00),"[['BIO 60 - Introduction to Molecular and Cellular Biology (5.00)'], [' Course cannot be dual counted']]"
Moreno Valley College,CHEM 1000 - Foundations of Chemistry (3.00),"[['CHE 1A - General Chemistry, I (5.00)'], ['CHE 1AH - Honors General Chemistry, I (5.00)']]"
Moreno Valley College,GEOL 2010 - Physical Geology (4.00),[['No Course Articulated']]
Moreno Valley College,MATH 2200 - Introduction to Statistical Concepts and Methods (4.00),[['MAT 12 - Statistics (4.00)']]
Moreno Valley College,MATH 2533 - Multivariable and Vector Calculus (4.00),[['MAT 1C - Calculus III (4.00)']]
Moreno Valley College,MATH 2540 - Ordinary Differential Equations (4.00),[['MAT 2 - Differential Equations (4.00)']]
Moreno Valley College,MATH 2610 - Linear Algebra I (4.00),[['MAT 3 - Linear Algebra (3.00)']]
Moreno Valley College,PHYS 2230 - Calculus-Based Physics III (4.00),[['No Course Articulated']]
Moreno Valley College,SCI 1409 - Introduction to Scientific Thinking (3.00),[['No Course Articulated']]
