Palo Verde College,CSE 020 - Introduction to Computing I (2.00),[['No Course Articulated']]
Palo Verde College,CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Palo Verde College,CSE 020 - Introduction to Computing I (2.00) & CSE 021 - Introduction to Computing II (2.00),[['No Course Articulated']]
Palo Verde College,MATH 021 - Calculus I for Physical Sciences & Engineering (4.00) ,[['MAT 220 - Calculus I (5.00)']]
Palo Verde College,MATH 022 - Calculus II for Physical Sciences & Engineering (4.00) ,[['No Course Articulated']]
Palo Verde College,MATH 023 - Vector Calculus (4.00),[['No Course Articulated']]
Palo Verde College,MATH 024 - Linear Algebra and Differential Equations (4.00),[['No Course Articulated']]
Palo Verde College,PHYS 008 - Introductory Physics I for Physical Sciences (3.00) & PHYS 008L - Introductory Physics I for Physical Sciences Lab (1.00),[['No Course Articulated']]
Palo Verde College,PHYS 009 - Introductory Physics II for Physical Sciences (3.00) & PHYS 009L - Introductory Physics II for Physical Sciences Lab (1.00),"[['No Course Articulated'], ['ADDITIONAL MAJOR PREPARATION COURSES']]"
Palo Verde College,CSE 015 - Discrete Mathematics (4.00),"[['No Course Articulated'], ['ADDITIONAL MAJOR PREPARATION COURSES']]"
Palo Verde College,CSE 022 - Introduction to Programming (4.00),[['No Course Articulated']]
Palo Verde College,CSE 024 - Advanced Programming (4.00),[['No Course Articulated']]
Palo Verde College,CSE 030 - Data Structures (4.00),[['No Course Articulated']]
Palo Verde College,CSE 031 - Computer Organization and Assembly Language (4.00),[['No Course Articulated']]
Palo Verde College,ENGR 065 - Circuit Theory (4.00),"[['No Course Articulated'], ['BIOLOGICAL OR ENVIRONMENTAL SYSTEMS SCIENCE REQUIREMENT']]"
Palo Verde College,BIO 003 - To Know Ourselves: Molecular Basis of Health and Disease (4.00),[['No Course Articulated']]
Palo Verde College,MATH 032 - Probability and Statistics (4.00),[['No Course Articulated']]
