Sacramento City College,MATH 31A - Differential and Integral Calculus (4.00),[['MATH 400 - Calculus I (5.00)']]
Sacramento City College,MATH 31B - Integration and Infinite Series (4.00),[['MATH 401 - Calculus II (5.00)']]
Sacramento City College,MATH 32A - Calculus of Several Variables (4.00),[['MATH 402 - Calculus III (5.00)']]
Sacramento City College,MATH 32B - Calculus of Several Variables (4.00),[['MATH 402 - Calculus III (5.00)']]
Sacramento City College,MATH 33A - Linear Algebra and Applications (4.00),[['MATH 410 - Introduction to Linear Algebra (3.00)']]
Sacramento City College,MATH 33B - Differential Equations (4.00),[['MATH 420 - Differential Equations (4.00)']]
Sacramento City College,PHYSICS 1A+ 1B+1C+ 4AL or 4BL,[['PHYS 410 - Mechanics of Solids and Fluids (5.00)']]
Sacramento City College,"ENGCOMP 3 - English Composition, Rhetoric, and Language (5.00) ","[['ENGWR 300 - College Composition (3.00)', 'PHYS 420 - Electricity and Magnetism (5.00)', 'PHYS 430 - Heat, Waves, Light and Modern Physics (5.00)']]"
Sacramento City College,One additional course in English composition,"[['ENGWR 301 - College Composition and Literature (3.00)'], ['ENGWR 302 - Advanced Composition and Critical Thinking (3.00)'], ['ENGWR 303 - Argumentative Writing and Critical Thinking Through Literature (4.00)'], ['COMM 316 - Advanced Argumentation and Critical Thinking (3.00)'], ['SOC 305 - Critical Thinking in the Social Sciences (3.00)']]"
Sacramento City College,One course in computer programming: C++ preferred,"[['CISP 360 - Introduction to Structured Programming (4.00)'], ['CISP 400 - Object Oriented Programming with C++ (4.00)']]"
