Merritt College,ECS 020 - Discrete Mathematics For Computer Science (4.00),"[['CIS 11 - Discrete Structures and Logic (4.00)'], ['PREPARATION COURSES FOR THE MAJOR']]"
Merritt College,ECS 036A - Programming & Problem Solving (4.00),[['No Course Articulated']]
Merritt College,ECS 036B - Software Development & Object-Oriented Programming in C++ (4.00),[['CIS 33 - Software Architectures and Algorithms (4.00)']]
Merritt College,"ECS 036C - Data Structures, Algorithms, & Programming (4.00) ",[['No Course Articulated']]
Merritt College,ECS 050 - Computer Organization & Machine-Dependent Programming (4.00),[['No Course Articulated']]
Merritt College,MAT 021A - Calculus (4.00),[['MATH 3A - Calculus I (5.00)']]
Merritt College,MAT 021B - Calculus (4.00),[['MATH 3B - Calculus II (5.00)']]
Merritt College,MAT 021C - Calculus (4.00),[['MATH 3C - Calculus III (5.00)']]
Merritt College,MAT 022A - Linear Algebra (3.00),[['MATH 3E - Linear Algebra (3.00)']]
Merritt College,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution (5.00),[['BIOL 1A - General Biology (5.00)']]
Merritt College,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life (5.00),[['BIOL 1B - General Biology (5.00)']]
Merritt College,BIS 002A - Introduction to Biology: Essentials of Life on Earth (5.00),"[['BIOL 1A - General Biology (5.00)', 'BIOL 1B - General Biology (5.00)', ' Complete entire sequence at same institution prior to']]"
